run,input_frames,used_frames,requested_workers,selected_workers,available_ram_bytes,projected_stack_bytes,fallbacks,stack_wall_seconds,end_to_end_seconds,metcalf_sha256,star_sha256,comparison_sha256
1,247,242,auto,4,4660178944,739708928,0,84.510254,397.6,11069DD5033D32065406283A7B561314948EA175FB6BFF194DF984CBEE4B401D,C610A34FDBB276A031D632B7D57FF4FEE3F02A6DC28BF958B91E557274C42DC8,9680BD5FFFE84E662D8CE91E238499175AE2378CF60DE454370BF7CB69D8CEC8
2,247,242,auto,4,4791398400,739708928,0,73.417865,260.8,11069DD5033D32065406283A7B561314948EA175FB6BFF194DF984CBEE4B401D,C610A34FDBB276A031D632B7D57FF4FEE3F02A6DC28BF958B91E557274C42DC8,9680BD5FFFE84E662D8CE91E238499175AE2378CF60DE454370BF7CB69D8CEC8
